Range,Row,Plot,Entry,Cerc Rating:8/16/23,Cerc Rating:8/21/23,Cerc Rating:8/28/23,Cerc Rating:9/6/23,Rhizoc,PoorStd,Bolt,Miss,Notes
10,3,1021,P.24,4,5,5,8,1,1,0,0,bac
10,4,1022,Pc.2,3,4,4,4,0,0,0,0,bac
10,5,1023,Pc.2,3,4,4,4,0,0,0,0,bac
10,6,1024,P.16,1,3,3,4,0,0,0,0,bac
10,7,1025,P.27,2,3,4,4,0,0,0,0,bac
10,8,1026,P.1,,,,,0,0,0,1,
10,9,1027,P.19,1,2,4,4,1,0,0,0,bac
10,10,1028,P.28,2,2,4,4,1,0,0,0,bac
11,1,1119,CS,4,4,5,6,0,0,0,0,
11,2,1120,CS,4,4,5,6,1,0,0,0,bac
11,3,1121,P.9,2,3,4,4,1,0,0,0,bac
11,4,1122,P.13,2,2,4,4,0,0,0,0,bac
11,5,1123,P.30,4,4,5,5,0,0,0,0,bac
11,6,1124,P.20,2,3,3,4,0,0,0,0,bac
11,7,1125,P.25,3,4,5,6,1,0,0,0,bac phoma
11,8,1126,P.7,4,4,4,4,0,0,0,0,bac
11,9,1127,221,4,4,5,5,0,0,0,0,bac alt
11,10,1128,P.4,,,,,0,0,0,1,
12,1,1219,CS,4,5,6,7,0,0,0,0,
12,2,1220,CS,4,4,6,7,1,0,0,0,
12,3,1221,P.24,4,5,6,7,1,1,0,0,bac
12,4,1222,P.2,,,,,0,0,0,1,
12,5,1223,218,2,2,3,4,1,0,0,0,bac
12,6,1224,P.19,3,4,4,5,1,0,0,0,bac
12,7,1225,P.26,3,3,4,5,1,0,0,0,bac
12,8,1226,P.20,4,4,4,5,1,0,0,0,bac
12,9,1227,Pc.4,4,4,4,4,1,0,0,0,bac
12,10,1228,Pc.4,4,4,4,4,0,0,0,0,bac
13,1,1319,CS,4,5,6,7,0,0,0,0,
13,2,1320,CS,4,4,6,7,0,0,0,0,
13,3,1321,P.10,3,3,4,5,0,0,0,0,bac
13,4,1322,P.4,,,,,0,0,0,1,
13,5,1323,P.25,3,3,4,5,0,0,0,0,bac
13,6,1324,P.11,2,2,3,4,0,0,0,0,bac
13,7,1325,P.7,2,3,4,4,0,0,0,0,bac
13,8,1326,P.23,3,5,5,6,1,0,0,0,bac
13,9,1327,P.9,3,4,5,5,1,0,0,0,bac
13,10,1328,P.13,2,3,4,5,1,0,0,0,bac
14,1,1419,CS,4,5,6,7,0,0,0,0,
14,2,1420,CS,4,5,6,6,0,0,0,0,
14,3,1421,P.5,2,2,3,4,0,1,0,0,bac
14,4,1422,P.3,2,2,3,4,0,1,0,0,bac
14,5,1423,Pc.1,3,4,4,4,0,0,0,0,bac
14,6,1424,Pc.1,3,4,4,4,0,0,0,0,bac
14,7,1425,P.1,,,,,0,0,0,1,
14,8,1426,P.15,2,3,3,4,0,1,0,0,bac
14,9,1427,P.27,3,4,4,5,1,0,0,0,bac
14,10,1428,P.30,4,5,6,7,0,0,0,0,
15,1,1519,CS,4,4,6,6,0,0,0,0,
15,2,1520,CS,4,5,6,7,0,0,0,0,
15,3,1521,P.17,3,4,4,5,0,0,0,0,bac
15,4,1522,P.16,3,3,4,4,0,0,0,0,bac alt
15,5,1523,221,4,5,6,6,0,0,0,0,bac
15,6,1524,P.22,2,4,4,4,0,0,0,0,bac alt
15,7,1525,Pc.3,3,4,4,5,0,0,0,0,bac
15,8,1526,Pc.3,3,3,4,5,0,0,0,0,bac
15,9,1527,Pc.2,4,4,4,4,0,0,0,0,bac
15,10,1528,Pc.2,3,4,4,4,0,0,0,0,
16,1,1619,CS,4,5,6,6,0,0,0,0,
16,2,1620,CS,4,4,6,6,0,0,0,0,
16,3,1621,P.28,2,2,4,4,0,0,0,0,bac
16,4,1622,P.6,,,,,0,0,0,1,
16,5,1623,P.8,2,2,3,5,0,0,0,0,bac
16,6,1624,P.12,2,2,3,4,0,1,0,0,bac
16,7,1625,P.29,3,4,4,5,1,0,0,0,bac
16,8,1626,P.21,2,3,4,4,0,1,0,0,bac
16,9,1627,P.18,3,4,4,5,0,0,0,0,bac
16,10,1628,P.14,2,2,4,5,0,0,0,0,bac
17,1,1719,CS,4,5,6,7,0,0,0,0,
17,2,1720,CS,4,4,6,6,0,0,0,0,
17,3,1721,P.8,1,2,4,4,0,1,0,0,bac
17,4,1722,P.20,2,3,3,4,0,0,0,0,bac
17,5,1723,P.13,1,2,2,3,0,1,0,0,bac
17,6,1724,P.25,2,2,3,5,1,1,0,0,bac alt phoma
17,7,1725,Pc.1,1,2,3,4,0,1,0,0,
17,8,1726,Pc.1,,,,,0,0,0,1,
17,9,1727,Pc.4,3,4,4,4,0,1,0,0,bac
17,10,1728,Pc.4,,,,,0,0,0,1,
18,1,1819,CS,5,5,6,7,0,0,0,0,
18,2,1820,CS,4,4,6,6,0,0,0,0,
18,3,1821,P.22,3,3,4,4,0,0,0,0,bac alt
18,4,1822,P.1,,,,,0,0,0,1,
18,5,1823,P.30,4,5,6,7,0,0,0,0,bac
18,6,1824,P.2,,,,,0,0,0,1,
18,7,1825,P.19,2,2,4,5,0,0,0,0,bac
18,8,1826,Pc.2,3,4,4,5,0,0,0,0,bac alt
18,9,1827,Pc.2,3,4,4,5,0,0,0,0,bac alt
18,10,1828,P.26,2,2,3,5,0,1,0,0,bac
19,1,1919,CS,4,5,6,6,0,0,0,0,
19,2,1920,CS,4,6,6,7,0,0,0,0,
19,3,1921,P.10,3,3,4,5,0,0,0,0,bac
19,4,1922,P.24,4,4,5,6,0,0,0,0,bac
19,5,1923,P.14,2,4,4,5,0,0,0,0,bac phoma
19,6,1924,P.21,3,3,4,5,0,0,0,0,bac alt
19,7,1925,Pc.3,3,4,4,5,0,0,0,0,bac
19,8,1926,Pc.3,3,4,4,5,0,0,0,0,bac phoma
19,9,1927,P.6,,,,,0,0,0,1,
19,10,1928,P.18,3,3,4,5,0,0,0,0,bac alt
20,1,2019,CS,5,5,6,7,0,0,0,0,
20,2,2020,CS,4,5,6,7,0,0,0,0,
20,3,2021,221,4,4,5,7,0,0,0,0,bac
20,4,2022,P.16,2,2,3,5,1,0,0,0,
20,5,2023,P.9,1,3,4,5,1,0,0,0,bac lm
20,6,2024,P.29,3,5,5,6,1,0,1,0,aph
20,7,2025,P.27,3,5,5,5,0,0,0,0,bac
20,8,2026,218,1,2,3,4,0,0,0,0,bac
20,9,2027,P.28,2,2,3,4,1,0,0,0,bac
20,10,2028,P.4,,,,,0,0,0,1,
21,1,2119,CS,4,4,6,7,0,0,0,0,
21,2,2120,CS,4,4,6,7,0,0,0,0,
21,3,2121,P.11,2,3,4,4,0,0,0,0,bac alt
21,4,2122,P.7,3,4,4,5,0,0,0,0,bac
21,5,2123,P.23,3,4,5,5,1,0,0,0,bac
21,6,2124,P.15,2,3,3,4,0,1,0,0,bac
21,7,2125,P.3,1,2,2,4,0,0,0,0,bac phoma
21,8,2126,P.5,1,2,3,4,1,0,0,0,bac
21,9,2127,P.17,2,3,4,5,0,0,0,0,bac alt
21,10,2128,P.12,1,3,4,5,1,0,0,0,bac alt
22,1,2219,CS,4,5,6,7,0,0,0,0,
22,2,2220,CS,4,5,6,7,0,0,0,0,
22,3,2221,219,3,4,4,5,0,0,0,0,bac phoma
22,4,2222,219,2,4,4,5,0,0,0,0,bac phoma lm
22,5,2223,219,2,2,4,5,0,0,0,0,bac phoma
22,6,2224,219,1,4,4,5,0,0,0,0,bac phoma alt
22,7,2225,219,2,4,4,5,0,0,0,0,bac phoma
22,8,2226,219,2,4,4,4,0,0,0,0,bac alt
22,9,2227,219,2,3,4,5,0,0,0,0,bac phoma
22,10,2228,219,2,3,3,4,0,0,0,0,bac phoma alt yellows
